duration treatment female black hispanic ndependents recall young old quarter durable lusd
173 26.9868407994642 0 0 0 0 2 0 1 0 2 0 1
175 13.9865661259965 1 0 0 0 1 0 0 1 3 1 1
176 18.9989901114466 1 0 1 0 0 0 0 0 4 1 0
177 1.01011541634004 0 1 0 0 0 0 1 0 5 0 0
185 2.99997524060835 0 0 0 0 0 0 0 0 5 0 1
186 26.9955702391279 1 0 1 0 0 0 1 0 5 0 0
188 6.01805060800195 1 1 0 0 1 0 0 0 4 1 0
189 27.009092477715 0 1 0 0 0 0 1 0 5 1 1
191 16.9960521443037 1 1 0 0 0 0 0 0 3 0 0
195 20.0106490925201 0 0 0 0 0 1 0 0 3 1 1
196 3.99652582619973 0 0 0 0 2 0 0 0 5 1 0
198 6.99674692568894 1 0 0 0 1 0 0 0 5 0 1
200 9.99876269266143 0 0 0 0 0 0 1 0 0 1 0
202 24.998369358444 1 0 0 0 0 0 0 1 2 1 1
204 27.0067145702286 1 1 0 0 0 0 0 1 3 0 0
206 4.01033963824164 0 0 0 0 2 0 1 0 5 0 1
207 32.9888913033043 0 1 0 1 1 0 1 0 5 1 1
208 25.0108873854349 0 0 0 0 2 0 1 0 0 0 0
211 26.9928057684283 0 1 0 0 0 0 1 0 0 1 1
212 14.9854266042339 1 1 0 0 0 0 0 0 2 0 0
214 1.97818615843172 0 0 0 1 0 0 1 0 3 0 1
215 27.010951756495 0 0 1 0 2 0 1 0 3 0 0
217 1.01737503725925 1 0 0 0 1 0 0 1 2 0 1
220 1.00988902510922 0 0 0 1 0 0 0 0 0 1 1
222 28.0103438153686 0 1 0 0 0 0 1 0 2 0 0
227 0.98722123320321 0 0 0 0 0 0 1 0 2 0 0
228 0.988808040428353 1 0 0 1 0 0 1 0 4 1 1
230 11.0055541846839 0 0 0 0 0 0 0 0 2 0 1
231 22.9904101326267 1 1 0 0 2 1 0 0 3 0 0
234 26.9906072218507 1 1 0 0 0 1 1 0 4 0 0
235 28.9886191000864 1 1 0 0 2 0 1 0 5 0 0
236 14.9994339195732 1 0 0 0 1 0 0 1 5 0 1
237 2.98971698966747 0 0 0 0 0 0 0 1 5 1 0
239 5.98020172333413 1 0 0 0 2 0 1 0 3 0 0
240 27.9922981101201 0 0 0 0 0 0 0 0 3 0 0
242 5.01268695637603 0 0 0 0 2 0 1 0 2 0 0
244 5.99058003811908 0 0 0 0 0 0 1 0 4 0 0
248 27.0063579574656 1 0 0 0 0 0 0 1 2 0 0
249 26.9954250156607 1 1 0 0 0 0 0 0 2 0 1
251 26.9946957377848 0 0 0 0 0 0 0 1 0 1 0
255 6.99510678711021 1 0 0 0 2 0 0 0 2 1 0
256 5.98981931018069 0 0 0 0 2 0 0 0 2 0 1
257 3.00637142705711 1 0 0 0 0 0 1 0 3 0 1
258 3.99145639145089 1 0 0 0 0 0 1 0 3 0 1
259 10.9869259863873 0 1 0 0 0 1 0 0 5 0 0
260 9.00410684377078 0 0 0 0 0 0 0 0 2 0 1
263 11.9948265128025 1 1 0 0 0 0 0 1 5 0 1
264 3.01950893254883 1 1 0 0 0 0 0 0 5 0 0
268 9.00791978001366 0 1 1 0 0 1 0 0 3 0 0
271 27.0064376030687 1 0 0 0 0 0 1 0 4 0 1
273 22.9874961687269 0 0 0 0 0 0 1 0 2 0 0
274 7.00405412329001 0 1 0 0 0 0 1 0 0 0 0
275 14.9913322907253 0 1 1 0 0 0 0 0 5 0 1
279 19.9991776763345 1 0 0 0 1 0 0 0 4 0 1
282 0.998517566839602 1 0 0 0 1 0 0 1 3 0 0
283 4.00406545334755 1 0 0 0 1 1 0 1 4 0 0
284 14.9998482132814 1 1 0 0 0 0 1 0 4 0 0
287 0.996924421333039 0 0 0 0 1 0 0 0 3 0 0
288 27.9950901205777 0 1 0 0 0 0 1 0 3 0 1
294 8.99776026588861 1 0 0 0 1 0 1 0 4 1 0
296 28.0032319042072 1 1 0 0 0 0 0 0 4 0 0
300 23.0123546597044 0 0 0 0 0 0 0 1 3 0 0
302 0.995712558749126 0 0 0 0 1 0 0 0 0 0 0
303 5.99740825179296 0 0 0 0 0 0 0 0 2 0 0
314 3.01535605398901 1 1 0 1 0 0 1 0 2 1 1
316 9.99840979909563 1 1 0 0 0 0 1 0 4 0 0
317 0.997299647886726 1 1 0 0 0 0 0 0 3 0 1
318 7.00278184142925 1 1 0 0 0 0 0 0 3 0 1
319 1.99587426366022 0 0 0 0 0 0 0 0 4 0 1
320 18.9914591653206 0 0 0 0 2 0 0 0 5 0 1
321 0.994733735314818 0 1 0 1 2 0 1 0 5 0 0
323 26.9944421144271 0 0 0 0 0 0 0 0 3 0 1
324 0.995612888419805 0 1 1 0 1 0 0 0 5 0 0
326 17.9978559500005 1 0 0 0 2 0 0 0 3 0 1
327 5.99136759507233 1 0 0 0 0 0 0 0 3 0 1
330 26.9965362077618 1 0 0 0 0 0 0 0 2 0 1
331 17.99822142373 0 1 0 0 2 1 0 0 2 0 0
335 16.0129617639188 0 1 0 0 0 0 1 0 3 0 0
337 1.00898791025874 0 0 0 0 0 0 1 0 4 1 0
338 11.0037978032011 1 1 0 1 0 0 1 0 5 0 0
343 20.9946792612267 1 0 1 0 0 0 0 0 2 0 1
345 5.98354375231835 0 0 0 0 0 0 1 0 2 0 0
350 12.0049569085948 1 0 0 0 2 0 0 0 4 0 0
353 27.0047439338632 0 1 0 0 0 0 0 0 5 0 0
358 1.99292150671641 0 1 0 0 0 0 0 1 4 0 0
361 4.9903926972827 0 0 1 0 1 0 1 0 3 0 1
362 9.98069742613189 0 1 0 0 2 0 1 0 5 0 0
363 26.0222058145572 0 1 0 0 0 0 0 0 2 0 1
365 28.0089103753007 1 0 0 0 0 0 1 0 0 0 0
366 22.0063430444476 1 1 0 0 0 0 1 0 2 0 0
367 26.993316235685 1 0 0 0 2 0 0 0 4 1 0
372 7.98992921462192 0 0 0 1 2 0 0 0 5 0 0
376 18.9931781831624 0 1 0 0 0 0 1 0 5 1 1
378 4.01461121191344 1 0 0 0 1 0 0 0 1 1 0
381 2.99047762324144 0 0 0 0 0 0 0 0 3 0 0
382 6.00222501624557 0 0 0 1 2 0 0 0 4 1 1
384 9.01613814525503 0 0 0 0 2 0 1 0 4 0 0
387 27.0049248745297 1 1 0 0 0 0 1 0 5 0 1
388 26.9846889728498 1 0 0 0 2 0 0 1 5 0 0
395 27.0064548678509 0 1 0 0 0 0 0 0 5 0 0
398 5.00583667991725 0 0 0 0 0 1 1 0 5 0 1
399 27.0071335419048 0 1 0 0 0 0 0 1 3 0 1
401 26.9938836877754 0 1 0 0 0 0 0 0 4 0 1
403 3.99205092869592 0 1 0 0 0 0 0 1 5 0 0
404 8.99623591713755 1 0 0 0 0 0 0 0 5 0 1
405 23.019412863859 0 0 0 0 2 0 0 0 4 0 1
410 14.0028028598691 1 0 0 0 2 0 0 0 4 0 1
411 12.9949298914411 1 1 0 0 0 0 0 0 5 0 1
412 13.9946504681636 1 1 0 0 0 0 0 0 2 0 1
413 3.98639755558849 1 0 0 0 0 0 1 0 2 0 0
417 20.9993938374671 1 0 0 0 2 0 0 0 3 0 1
418 1.99312984339133 1 1 0 0 0 0 1 0 2 0 1
419 26.9936440620227 0 0 1 0 0 0 1 0 5 0 0
420 0.997996789084748 1 1 0 0 0 0 1 0 5 0 0
421 26.9970030445487 0 0 0 0 1 0 0 1 4 1 1
423 0.995459393892264 0 0 0 0 0 0 0 0 4 1 0
424 9.9909342240541 0 0 0 0 0 0 0 0 4 0 1
427 16.9836627303124 0 1 0 0 0 0 0 1 4 0 0
428 18.0020184620622 0 0 0 0 0 0 0 0 2 0 1
431 27.0059000361005 0 1 1 0 0 0 1 0 5 0 0
432 26.9786715936637 1 1 1 0 0 0 0 1 3 0 0
433 8.00337777115928 0 0 0 0 2 0 0 0 4 0 0
434 2.97452095728422 1 0 0 0 0 0 1 0 2 0 1
438 5.01100995896447 0 1 0 0 0 0 0 0 3 0 0
439 27.0063549904622 0 0 0 0 0 0 0 0 3 1 0
440 26.9868994832537 1 1 0 0 0 0 1 0 2 0 0
442 3.99994848039692 0 0 0 0 1 0 0 1 3 0 0
443 2.99139816053859 1 0 0 0 0 0 0 0 4 0 0
444 27.0065018284708 1 0 0 0 2 0 0 0 5 0 1
446 7.00157945595061 0 0 0 0 0 0 1 0 5 0 0
447 26.9924846747187 0 0 0 0 0 0 0 1 3 0 1
448 2.00245649588191 0 0 0 0 1 0 0 1 3 0 1
449 2.0018790063003 1 1 0 0 0 0 0 0 4 0 1
450 27.0120720459913 1 1 0 0 0 0 0 0 3 0 1
451 26.9990345135079 1 1 0 0 2 0 0 0 3 0 1
453 6.00957139916723 0 0 0 0 2 0 0 0 5 0 0
456 2.00423937585707 0 0 0 0 0 0 1 0 2 0 0
460 27.0035580635692 0 1 0 0 0 0 0 0 2 0 1
462 0.99888746425637 0 0 0 0 1 0 0 0 3 0 1
464 16.0123977001411 1 1 0 0 2 1 0 0 3 0 0
469 3.00111099874235 1 0 0 0 1 0 0 1 2 1 0
470 26.9912271317848 1 1 0 0 0 0 0 0 1 0 0
472 7.00498123108946 1 1 0 0 0 0 0 0 3 0 1
477 7.00030626284196 1 0 0 0 0 0 1 0 4 0 1
478 0.99430812577207 1 0 1 0 0 0 1 0 4 0 0
480 0.999227639391729 0 0 0 0 0 0 0 1 5 0 0
482 1.98999822409358 1 1 0 0 1 0 0 0 5 0 0
484 19.9953592560726 0 0 1 0 0 0 0 0 2 0 0
486 2.00422534120528 1 1 0 1 1 0 0 0 4 1 0
487 3.00154042526742 0 0 0 0 0 0 0 0 2 0 1
488 0.998634255127149 0 0 0 0 2 0 1 0 5 0 0
492 1.02548716595222 1 1 0 0 0 0 1 0 3 0 1
495 12.0025675122037 1 0 0 0 0 0 0 0 4 0 1
497 4.01496535840633 0 0 0 0 0 0 1 0 5 0 0
499 24.9978838991839 1 1 0 0 0 0 0 0 3 0 1
500 14.9965032061376 0 1 0 0 0 0 1 0 5 0 1
502 28.0048752597802 0 1 0 0 1 0 0 0 3 0 0
503 5.98831703222677 0 0 0 0 0 0 0 0 3 0 0
508 44.0098345752373 0 1 0 0 0 0 0 1 5 0 0
509 8.00382623609857 0 0 0 0 0 0 0 1 3 0 0
511 27.006030541654 0 0 0 0 0 0 0 1 5 1 1
514 7.01141908071261 0 1 0 0 0 0 0 0 0 0 0
516 0.989396725700388 0 0 0 0 2 0 0 0 3 0 0
517 26.9998833491329 0 0 0 0 1 0 0 0 2 0 1
518 27.0089973430482 0 0 0 0 0 0 0 0 5 1 0
520 0.983140398679692 0 0 0 1 0 0 0 0 3 0 0
521 27.0061458978118 0 0 0 0 0 0 0 0 5 0 0
523 24.9926915753458 0 0 0 0 0 0 0 0 5 0 0
524 12.0045896251324 0 0 0 0 0 0 0 0 4 0 0
527 1.00014169443348 1 0 0 1 0 0 1 0 3 0 1
529 13.0115450941681 1 1 0 0 0 0 1 0 2 0 1
531 1.00601102150031 0 1 0 0 2 0 1 0 2 0 0
532 0.990981165713361 0 1 0 1 0 0 0 0 5 1 1
535 27.0024327756428 0 1 0 0 0 0 0 0 2 0 0
537 0.99131420137554 0 0 0 0 2 0 1 0 5 1 0
540 3.99454935991048 0 1 0 0 0 1 1 0 2 0 1
542 10.996368282699 1 1 0 0 0 0 0 1 4 0 0
543 12.0061660212009 1 0 0 0 0 1 0 1 4 0 0
546 8.00824184967229 0 1 0 0 0 0 0 0 3 0 0
547 7.00327225952463 0 1 0 0 2 0 0 0 5 1 1
548 11.9957809079291 1 0 0 0 0 0 0 0 5 1 1
551 13.9962789192111 1 0 0 0 0 0 1 0 4 0 0
557 26.9948454081505 1 1 0 0 0 0 0 0 4 0 0
558 27.0099108182305 0 1 0 0 0 0 0 0 0 0 1
559 1.01059794734101 0 1 1 0 0 0 0 0 5 0 0
562 26.9949481384716 0 0 0 0 2 0 0 0 4 0 0
563 0.986477324779606 1 1 0 0 0 0 1 0 5 0 0
566 26.9948369910604 0 0 0 0 0 0 1 0 4 1 0
567 29.97777543224 0 0 0 0 0 0 0 1 3 0 1
572 3.98779022987256 0 0 0 0 0 0 0 0 5 0 1
573 17.9915883306596 0 1 0 0 0 0 0 0 2 0 0
576 1.00580482567528 0 1 0 0 0 0 1 0 5 0 0
578 2.0030677091682 0 1 0 0 1 0 0 0 2 0 0
579 2.99669823457885 0 0 0 0 0 0 0 0 2 0 0
582 26.9731736165653 0 1 0 0 0 0 0 0 3 1 1
584 26.9994675732482 1 0 0 0 0 0 0 0 3 0 0
585 26.996689987769 0 0 0 0 0 0 0 0 3 0 0
591 0.997510864941958 1 1 0 0 0 0 1 0 2 0 0
592 1.00342570416385 1 0 0 0 0 0 1 0 3 1 0
593 3.99629136612534 0 0 0 0 2 0 1 0 4 0 1
599 18.9995232350471 0 1 0 0 0 0 0 0 4 0 0
600 13.0057695143959 1 1 1 0 2 0 0 0 2 0 0
602 0.994251714640893 0 0 0 0 2 0 0 0 3 0 0
609 27.0237051978554 0 1 1 0 0 0 0 0 5 0 0
610 0.996720110479502 1 0 0 0 0 0 1 0 3 0 1
612 0.979725765548102 1 1 1 0 2 0 1 0 4 0 0
613 3.01206331381225 0 1 0 0 1 0 1 0 4 0 0
614 16.9986681346929 0 0 1 0 0 0 1 0 3 0 0
619 26.981478163141 0 1 0 0 1 0 1 0 5 0 0
620 26.9973761726124 0 1 1 0 1 0 1 0 5 0 0
621 3.98991754382469 1 0 0 0 0 0 1 0 4 0 0
626 3.00588243101738 0 0 0 1 0 0 1 0 2 1 1
629 27.0169843699593 0 0 1 0 0 0 0 1 3 1 0
630 0.988206436052481 1 0 0 1 0 0 0 1 4 0 0
631 2.02263923281773 0 0 0 0 1 0 0 1 4 0 0
633 11.9988556360432 1 0 0 0 2 0 0 0 4 0 0
637 2.98140432185318 0 0 0 0 0 0 1 0 2 0 1
638 21.9921921955795 0 1 0 0 0 0 1 0 4 0 0
644 27.0126257037366 1 0 0 0 0 0 0 1 5 0 0
645 26.0073156950975 1 1 0 0 0 1 0 1 2 1 0
646 0.984578198445647 1 0 0 0 0 0 0 1 5 0 0
649 7.99905145683606 0 0 0 0 1 0 0 1 5 0 0
650 4.00116647718028 1 1 0 0 0 0 0 1 3 0 0
651 27.0062950856875 1 1 0 0 0 0 0 1 5 1 0
652 27.9912230991398 1 1 0 0 0 0 0 1 4 0 0
655 5.99033495726652 0 0 0 0 0 0 0 1 4 0 0
657 27.9850470290379 0 1 0 0 0 0 0 1 2 0 0
659 6.98468991163277 0 0 0 0 0 0 0 1 3 0 1
660 25.9907685098263 0 1 0 0 0 1 0 1 4 0 1
662 5.01001875906634 1 1 0 0 0 0 0 0 2 1 0
663 27.0011872626958 0 1 0 0 0 0 0 0 2 0 0
664 27.0002099671807 0 0 0 0 2 0 0 0 5 1 1
666 27.017567701001 1 1 0 0 0 0 0 0 5 0 0
667 5.99150675876837 1 1 1 0 2 0 0 0 2 1 0
668 17.0109393012326 1 0 0 0 0 1 0 0 3 0 0
669 4.00664267790799 0 0 0 0 0 0 0 0 0 0 0
670 12.9996713080006 1 0 0 0 0 0 0 0 4 0 1
674 27.0007374709375 0 1 0 1 0 0 0 0 3 0 0
676 0.998590015943246 0 0 1 0 0 0 0 0 0 0 0
677 5.00936688494758 1 1 0 0 0 0 0 1 2 0 1
680 27.0023243641402 1 0 1 0 0 0 0 0 4 1 0
687 13.0096713262854 0 0 0 0 0 0 0 0 2 0 0
689 21.9853240818244 0 0 0 0 0 0 0 0 0 1 1
690 14.9858705337 0 0 0 0 0 0 0 0 4 1 0
691 9.99796846867281 0 0 0 0 2 0 1 0 4 1 1
694 10.0082908320505 0 0 0 0 0 0 0 0 5 0 1
696 1.0035043379215 0 1 0 0 0 0 0 0 5 0 0
697 23.010447706191 0 0 1 0 0 0 0 0 5 0 0
701 27.0087962282812 0 0 0 0 2 0 0 0 4 0 0
702 4.00252184355037 0 0 0 0 0 0 0 0 2 0 0
703 3.99650591270918 0 0 0 0 0 0 0 0 3 0 0
705 9.99212551056244 0 1 0 0 0 0 0 0 2 0 1
708 9.00552765890322 1 1 0 0 0 1 0 0 3 0 1
709 27.9811309652828 0 1 0 0 2 0 0 0 4 0 1
710 1.9895887629291 1 0 0 0 0 0 1 0 3 0 1
712 12.9987067366594 0 1 0 0 0 0 1 0 5 0 1
719 26.9887649656133 1 0 0 0 0 0 0 0 3 1 1
720 2.99221759282227 0 0 0 0 0 0 1 0 5 1 1
722 0.991720688722639 1 0 0 0 1 0 0 0 4 0 1
725 27.0075752655935 0 0 0 0 0 0 0 0 2 0 0
726 0.99775877281635 0 0 0 0 0 0 0 0 4 0 0
730 30.0063253075777 0 1 0 0 2 0 0 0 2 0 0
731 0.978159202215284 1 1 0 0 0 0 1 0 3 0 0
734 0.996211044510964 0 1 0 0 0 0 1 0 4 0 0
735 24.9914550707844 1 0 0 0 0 0 0 0 5 0 1
737 26.9823724066149 1 1 0 0 0 0 0 0 3 0 1
738 19.9877235602589 1 0 0 0 0 0 1 0 2 0 0
740 25.012038978092 0 0 0 0 0 0 1 0 2 0 0
741 15.0214136692579 1 0 0 0 0 0 1 0 5 0 0
744 13.9890494150475 1 0 0 0 2 1 1 0 3 0 0
746 4.02105814752621 1 0 0 0 2 0 1 0 4 0 0
748 6.99087503904126 0 0 0 0 1 0 1 0 3 0 0
749 1.99964830038172 1 1 0 0 2 0 1 0 5 0 0
755 6.00216501730803 0 1 0 0 0 0 0 0 5 0 0
758 10.0167230377841 1 0 0 0 2 0 1 0 3 0 0
761 6.99543177701196 1 0 0 0 0 0 0 0 2 0 0
762 26.9903849292662 0 0 0 0 2 0 1 0 0 1 0
765 0.991107402535736 0 1 0 0 0 0 1 0 3 0 0
766 27.0099706371212 0 0 0 0 0 0 1 0 3 0 1
767 0.996760692399321 0 0 0 1 0 0 1 0 3 1 0
770 0.985000556290964 1 0 0 0 2 0 1 0 4 0 0
771 12.0164202339682 1 1 0 0 0 0 1 0 3 0 1
772 9.98936140103497 0 0 0 0 2 0 1 0 3 0 0
774 42.9957927454128 1 1 0 0 2 0 1 0 2 0 1
776 9.98989850173785 1 0 0 1 0 0 1 0 4 1 0
779 10.0033493349542 0 0 0 0 0 1 1 0 3 0 0
781 3.99755014308155 0 1 0 0 0 0 1 0 5 0 1
782 11.9875665606434 0 1 0 1 2 1 1 0 4 0 1
783 0.988164968295993 0 0 0 0 0 0 1 0 5 0 1
785 12.003536152357 1 1 0 0 0 0 1 0 5 0 0
790 9.01043929446766 1 0 0 0 0 1 1 0 2 0 0
792 1.99304308347347 0 0 0 0 0 0 1 0 5 0 1
793 14.0003899616882 0 0 0 0 0 1 1 0 2 0 0
798 27.0016913179116 0 1 0 0 0 0 1 0 0 0 0
799 3.98989178659936 1 0 0 0 0 0 1 0 3 0 0
803 16.0105357382312 1 1 0 0 0 0 1 0 4 0 0
807 27.0050121297823 1 0 0 0 1 1 1 0 3 0 0
811 17.0106582109368 0 1 0 0 0 0 1 0 3 1 0
816 3.00819698077712 0 0 0 0 1 0 1 0 5 0 1
817 0.999182221297246 1 0 0 0 2 0 1 0 3 0 0
820 27.0140201831597 1 1 0 0 0 0 1 0 5 0 0
825 1.00368603783648 0 1 0 0 1 0 1 0 5 0 0
827 2.00648234855503 1 1 0 0 0 0 1 0 3 0 1
829 26.9887158947914 0 0 0 0 0 0 1 0 4 0 0
831 27.0092323804578 0 0 0 0 0 0 1 0 4 1 1
834 8.00107207503905 1 0 0 0 0 0 1 0 3 0 0
840 15.9995486081992 0 0 0 0 0 0 1 0 4 0 1
842 4.98731428779902 0 1 0 0 0 1 1 0 2 0 0
843 26.9990311347952 1 0 0 0 0 0 1 0 5 1 0
844 7.01330448870851 1 0 0 0 1 0 1 0 2 1 0
846 13.0079449596538 0 0 0 0 0 0 1 0 3 0 1
847 0.982794361062571 0 0 0 0 0 0 1 0 2 0 0
849 8.98749938362177 0 0 0 0 0 0 1 0 4 0 0
856 2.99282380611628 0 0 0 0 1 0 1 0 3 0 0
860 2.00716124329659 1 0 1 0 0 0 1 0 2 0 1
864 8.00399067279032 0 1 1 0 0 0 1 0 5 0 0
865 2.98575482029475 1 0 0 0 0 0 0 1 5 0 1
868 26.9829355357923 1 0 1 0 0 0 0 1 3 0 0
871 12.9800665512719 0 0 0 0 0 0 0 1 3 0 1
872 1.00556468779607 1 0 1 0 0 0 0 1 5 0 0
875 12.0183571960038 1 0 0 0 0 0 0 1 0 0 0
876 13.0071070002718 0 1 0 0 0 0 0 1 0 0 0
877 7.02056201680469 0 0 0 0 0 0 0 0 3 0 0
882 3.00083434640932 0 1 1 0 0 0 0 0 5 0 0
883 8.98830566716021 1 1 1 0 0 0 0 0 4 0 0
885 10.98025016236 0 0 1 0 0 0 0 0 2 1 0
887 0.991738486733235 1 0 1 0 0 0 0 0 4 0 0
888 1.00152046086177 1 0 0 0 2 0 0 0 4 1 0
889 1.00540450808456 0 1 0 0 0 0 0 0 0 0 0
890 12.0007028878359 1 1 0 0 1 0 0 0 4 0 0
892 16.99420377346 1 1 0 0 0 0 0 0 4 0 0
893 26.9849746688012 1 1 0 0 2 0 0 0 3 0 0
896 24.0163881476588 1 0 0 0 0 0 0 0 3 0 0
898 20.0045651377311 0 1 0 0 0 0 0 0 4 0 1
902 1.01314512005732 1 1 0 0 2 0 0 0 3 0 0
903 6.01350264533046 0 1 0 0 0 0 0 0 3 0 0
906 3.98909361015097 1 0 0 0 0 0 0 0 4 0 0
908 15.0074435430358 0 0 1 0 2 0 0 0 2 0 0
911 27.0019215139054 0 1 0 0 2 0 0 0 3 0 0
913 4.99664342944937 0 0 1 0 0 0 0 0 5 1 0
914 0.990890924764395 0 0 1 0 0 0 0 0 2 0 0
915 1.0189627743015 0 0 1 0 0 0 0 0 4 0 0
916 27.0085727993086 0 0 1 0 1 0 0 0 3 0 0
918 27.0048929859621 0 0 0 0 0 0 0 0 5 0 0
919 1.01216843016765 1 0 1 0 0 0 0 0 4 0 0
920 11.0006189458475 1 0 0 1 0 0 1 0 2 0 0
921 27.0024173376461 1 1 1 0 0 0 0 0 4 0 1
922 6.02109707518043 0 1 0 0 0 0 1 0 3 0 0
923 15.9966666759945 1 0 0 0 2 0 1 0 4 1 0
925 12.9888776686385 1 1 0 0 2 0 1 0 2 0 0
928 26.9997491623594 1 1 0 0 0 0 1 0 4 0 0
929 8.99595890784268 1 1 0 0 0 1 0 1 4 0 0
932 27.004186033261 0 0 0 0 0 0 1 0 3 1 0
